prompt_group,path,role,description,row_count,bytes,sha256
main_neutral_t2,prompts/upstream_prompt_jobs/main_neutral_t2_shared_summary_prompt_jobs.jsonl,upstream_prompt_jobs,Main T2 shared-summary upstream prompt jobs with neutral analyst framing.,188,5048542,85a6ffa101c363b235b912dba981a6ac05c0f37ec2cd33bd1b21d980d2769090
main_neutral_t3,prompts/upstream_prompt_jobs/main_neutral_t3_independent_summary_prompt_jobs.jsonl,upstream_prompt_jobs,Main T3 independent-summary upstream prompt jobs with neutral analyst framing.,1128,30367903,48433039876ea3cd56465f2c7ce3b5fb2da6ffe0e1e1e439abcea4b5957f576d
robustness_no_neutral_t2star,prompts/upstream_prompt_jobs/robustness_no_neutral_t2star_shared_summary_prompt_jobs.jsonl,upstream_prompt_jobs,T2* upstream prompt jobs with neutral analyst framing removed.,188,7679504,1752acd16aa8cb3a8c0425e3cc4f81ad24a506bae5541c63698732214917f500
robustness_no_neutral_t3star,prompts/upstream_prompt_jobs/robustness_no_neutral_t3star_independent_summary_prompt_jobs.jsonl,upstream_prompt_jobs,T3* upstream prompt jobs with neutral analyst framing removed.,1128,46153675,37f91a932c8f34a03f977a1e3482518ac922b9be4dc2619f3350dae465a5d81a
