treatment,directional_accuracy,strict_action_accuracy,mean_absolute_return_error
T1,0.5141843971631205,0.42508865248226946,0.056605027482269456
T2,0.5121897163120567,0.38331117021276595,0.05420932890070919
T3,0.5097517730496455,0.3808732269503546,0.05457866334219854
