model_family,upstream_model_family,belief_mad_delta,belief_mad_sci,rationale_distance_delta,rationale_distance_sci,source_diversity_delta,source_diversity_sci,category_diversity_delta,category_diversity_sci,action_entropy_delta,action_entropy_sci
claude-sonnet-4.5,claude-sonnet-4.5,0.0007329787234042485,-0.1945059853401706,0.019069079959593727,0.05271899845510071,0.06409519081689348,0.12489170200317634,0.019012158054711247,0.01095864169859316,0.006014969117548683,0.027642959875845113
claude-sonnet-4.5,qwen3-235b-a22b,0.002680851063829776,-0.06463294238014916,0.03314952619277839,0.09185940459843506,0.13645517633953966,0.2650135370420133,0.05917806484295845,0.15680676829976292,0.02731884127213262,0.07026834793450988
deepseek-v3.1,claude-sonnet-4.5,-0.0006907801418439764,-0.25762755178236585,0.03611115286868384,0.07047336826405348,0.06629136576211436,0.1032266750284493,0.03846757852076999,0.07964297922779545,0.0027567444469509396,0.0007577637596520654
deepseek-v3.1,qwen3-235b-a22b,0.0002893617021276525,-0.29702222028178066,0.038533011295119615,0.07507429414401913,0.11475474584915617,0.18618413322564348,0.0667046605876393,0.17760738838811063,0.0018107808005757959,-0.015208355541397241
gpt-5.2,claude-sonnet-4.5,0.0009361702127659488,-0.08013757584473802,0.030774295108847518,0.08295574900885119,0.07675280609176441,0.14925973297354725,0.03253630530226274,0.11397823596084665,0.035479517116626884,0.06651470816378514
gpt-5.2,qwen3-235b-a22b,0.0021216312056737477,-0.06670766672902027,0.036130555988041775,0.09968755335859357,0.16211544336312414,0.32351449057592213,0.0707273725092874,0.23811803848297805,0.05880220628105875,0.047504553829948316
qwen3-235b-a22b,claude-sonnet-4.5,0.0029078014184397115,-0.03863168903570282,0.019365823275724375,0.04706287271864027,0.06671587624075853,0.10904275272030615,0.05070077676460654,0.14276104262201714,0.016534446736334273,0.2121530509044132
qwen3-235b-a22b,qwen3-235b-a22b,0.0026347517730496363,-0.13093831908379638,0.02967734561081662,0.07015877347724259,0.1371585708465537,0.23051905397683636,0.059513255656872675,0.14732548584365052,0.04139549827071041,0.20145349691118372
