trace_group,path,role,description,paper_mapping,row_count_excluding_header,bytes,sha256
main_t1_t2_t3,results/traces/main_t1_t2_t3/decision_rows.csv,analysis_decision_trace,Analysis-level decision trace and cell metrics for the main T1/T2/T3 downstream run.,Main T1/T2/T3 evidence-to-action bottleneck results.,20304,33478246,83cfdd66fa74572b3214f2d02353df0a057ef4b856ff1cf00439cf4f93adb1cd
main_t1_t2_t3,results/traces/main_t1_t2_t3/cell_metrics.csv,analysis_cell_metrics,Analysis-level decision trace and cell metrics for the main T1/T2/T3 downstream run.,Main T1/T2/T3 evidence-to-action bottleneck results.,10152,6143050,4f5846ecde670bd41f4b734c086d674ef9f06c9d5ad9b91830ca285d242720af
main_t1_t2_t3,results/traces/main_t1_t2_t3/run_summary.json,analysis_trace_summary,Analysis-level decision trace and cell metrics for the main T1/T2/T3 downstream run.,Main T1/T2/T3 evidence-to-action bottleneck results.,,4425,c7c7827d530b19a5456cdb5beb32e959aa5d452c2ae819747a3395f5c7eb1477
t4_b0_mechanism,results/traces/t4_b0_mechanism/decision_rows.csv,analysis_decision_trace,Analysis-level decision trace and cell metrics for T4 structured-ledger and B0 canonical-evidence conditions alongside T1/T2/T3.,T4 main mechanism condition and B0 main-text follow-up.,31584,52735410,c4bb3aef072f896775591242ad1818300c1be8423dc4ef667104ee2606d09cae
t4_b0_mechanism,results/traces/t4_b0_mechanism/cell_metrics.csv,analysis_cell_metrics,Analysis-level decision trace and cell metrics for T4 structured-ledger and B0 canonical-evidence conditions alongside T1/T2/T3.,T4 main mechanism condition and B0 main-text follow-up.,15792,9518409,069b1451ef32b0a8154166b6bb616ce2b1667bccf6a46d5df1391cc5fa54d607
t4_b0_mechanism,results/traces/t4_b0_mechanism/run_summary.json,analysis_trace_summary,Analysis-level decision trace and cell metrics for T4 structured-ledger and B0 canonical-evidence conditions alongside T1/T2/T3.,T4 main mechanism condition and B0 main-text follow-up.,,4433,34cfc409d60c3afae4ddb211007e8ff6775b64d6967e620bdabe7aa48396236c
prompt_sensitivity_t2star_t3star,results/traces/prompt_sensitivity_t2star_t3star/decision_rows.csv,analysis_decision_trace,Analysis-level decision trace and cell metrics for T2*/T3* upstream-summary robustness without neutral-analyst framing.,Prompt-sensitivity robustness for T2*/T3*.,22560,37465972,7185caf8ade63217e49216f1f2dd5dc28feb7f0c123223923337bf12ceb9c3cd
prompt_sensitivity_t2star_t3star,results/traces/prompt_sensitivity_t2star_t3star/cell_metrics.csv,analysis_cell_metrics,Analysis-level decision trace and cell metrics for T2*/T3* upstream-summary robustness without neutral-analyst framing.,Prompt-sensitivity robustness for T2*/T3*.,11280,6755900,5392e71050a37f81af373ff33ed6021c32b9d2bd40bf5631896e79ebcd1c7291
prompt_sensitivity_t2star_t3star,results/traces/prompt_sensitivity_t2star_t3star/run_summary.json,analysis_trace_summary,Analysis-level decision trace and cell metrics for T2*/T3* upstream-summary robustness without neutral-analyst framing.,Prompt-sensitivity robustness for T2*/T3*.,,4501,1054d6be96973866553f1736b49f035f409b6d91e13e971e0a2b1186c0e5d76e
