Treatment,belief_mad,rationale_distance,source_diversity,category_diversity,action_entropy,action_diversity,directional,strict_action,abs_err
B0,0.012202127659574423,0.3379265958844861,0.9419813573935915,0.6869972137791286,0.48473072772195197,0.22015366430260044,0.5088652482269503,0.412677304964539,0.05437571276595743
T1,0.013195744680851024,0.3200751618945239,0.4173886293848523,0.19157970280310702,0.45905651236847445,0.20936761229314418,0.5141843971631206,0.4250886524822695,0.056605027482269483
T2*,0.015918195921985775,0.3491136137218899,0.395805616014127,0.1934979736575481,0.6513129166763684,0.2999039598108747,0.515625,0.3971631205673759,0.055191469636524805
T3*,0.01716746453900705,0.37913338038217814,0.510749682777762,0.24195726739277268,0.6775063196600443,0.30836288416075647,0.5222739361702128,0.399822695035461,0.05458140957446807
