metric,label,T2_neutral_style,T2star_no_style,T2star_minus_T2,T3_neutral_style,T3star_no_style,T3star_minus_T3
p_positive,Positive belief (P+),0.7521054964539006,0.7782579787234043,0.02615248226950373,0.7553191489361702,0.7771498226950354,0.02183067375886516
buy_share,Buy share,0.5497562056737588,0.5980718085106383,0.04831560283687952,0.5555186170212766,0.5982934397163121,0.04277482269503552
hold_share,Hold share,0.27626329787234044,0.243572695035461,-0.03269060283687944,0.27149822695035464,0.24545656028368795,-0.026041666666666685
strict_action_accuracy,Strict action accuracy,0.38331117021276595,0.3971631205673759,0.013851950354609954,0.38087322695035464,0.399822695035461,0.018949468085106336
directional_accuracy,Directional accuracy,0.5121897163120568,0.515625,0.0034352836879432136,0.5097517730496454,0.5222739361702128,0.01252216312056742
source_diversity,Source diversity,0.41087328180152755,0.395805616014127,-0.015067665787400542,0.5139156787152657,0.510749682777762,-0.003165995937503663
rationale_distance,Rationale distance,0.3532667722923799,0.3491136137218899,-0.004153158570489979,0.3836181210798307,0.37913338038217814,-0.004484740697652534
action_entropy,Action entropy,0.7087900103105327,0.6513129166763684,-0.05747709363416431,0.732554135815775,0.6775063196600443,-0.05504781615573073
