Family,Action,Delta no-style minus neutral
T2,Buy,0.04831560283687952
T2,Hold,-0.03269060283687944
T2,Sell,-0.015625
T3,Buy,0.04277482269503552
T3,Hold,-0.026041666666666685
T3,Sell,-0.016733156028368806
