treatment,n_decisions,n_events,directional_accuracy,directional_accuracy_ci_low,directional_accuracy_ci_high,strict_action_accuracy,strict_action_accuracy_ci_low,strict_action_accuracy_ci_high,trade_only_directional_accuracy,trade_only_directional_accuracy_ci_low,trade_only_directional_accuracy_ci_high,hold_neutral_accuracy,hold_neutral_accuracy_ci_low,hold_neutral_accuracy_ci_high,absolute_return_error,absolute_return_error_ci_low,absolute_return_error_ci_high,confidence_brier,confidence_brier_ci_low,confidence_brier_ci_high,confidence_weighted_directional_accuracy,trade_rate,hold_rate
T1,2256,94,0.5141843971631205,0.4272938829787234,0.5944259751773048,0.42508865248226946,0.34796099290780147,0.49690824468085093,0.5189430813607416,0.4334864486447469,0.6000245267192644,0.13157894736842105,0.06578947368421052,0.21052631578947367,0.056605027482269504,0.05004341773049645,0.06379414004875883,0.28140164007092194,0.25065057845744676,0.3143553003102836,0.5155819237896915,0.8271276595744681,0.17287234042553193
T2,9024,94,0.5121897163120568,0.42708056294326235,0.5958554964539007,0.383311170212766,0.31382978723404253,0.45268727836879424,0.5138544986047517,0.4287767199885418,0.5978651445011943,0.12903225806451613,0.06451612903225806,0.20430107526881722,0.0542093289007092,0.0475641246343085,0.0615423284796099,0.27098912898936167,0.2425398564937943,0.3003922459552305,0.5184828100006572,0.7237367021276596,0.27626329787234044
T3,9024,94,0.5097517730496455,0.42452626329787224,0.5938635859929078,0.3808732269503546,0.3108349955673759,0.45168439716312053,0.508062547361354,0.42276793528197926,0.5926814780315495,0.13829787234042554,0.07446808510638298,0.2127659574468085,0.05457866334219856,0.04800889065824467,0.061942293107269474,0.2724125110815603,0.24366520694813837,0.3017310491467199,0.5155849819742605,0.7285017730496454,0.27149822695035464
T4,9024,94,0.49069148936170215,0.4064716312056738,0.5718195921985815,0.36702127659574474,0.29874778368794325,0.43352171985815585,0.49972482582776706,0.41284064324720615,0.5824460499216053,0.13043478260869565,0.06521739130434782,0.20652173913043478,0.0528902544326241,0.04642351028368793,0.06007112508865245,0.2838790336879432,0.25475204676418445,0.31445563275709215,0.49419206594125936,0.7340425531914894,0.26595744680851063
