treatment,model_scope,n_cells,n_events,source_id_diversity_one_minus_overlap,mean_pairwise_sentence_embedding_distance,mean_pairwise_abs_diff_expected_return_5d,entropy_buy_hold_sell,quality_directional_accuracy,quality_action_accuracy,quality_mean_absolute_return_error
T1,four_models_with_T4,376,94,0.4173886293848523,0.3200751618945239,0.013195744680851024,0.45905651236847456,0.5141843971631205,0.42508865248226946,0.056605027482269456
T2,four_models_with_T4,1504,94,0.4108732818015276,0.3532667722923799,0.015809308510638255,0.7087900103105327,0.5121897163120567,0.38331117021276595,0.05420932890070919
T3,four_models_with_T4,1504,94,0.5139156787152657,0.3836181210798308,0.01726090425531911,0.732554135815775,0.5097517730496455,0.3808732269503546,0.05457866334219854
T4,four_models_with_T4,1504,94,0.8868232595140613,0.3338534551022776,0.013085992907801372,0.6442642524953012,0.49069148936170215,0.3670212765957447,0.05289025443262407
