event_id,upstream_model_family,model_family,representation_seed,decision_seed,investor_group,contrast,comparison,baseline,expressed_reason_comparison,expressed_reason_baseline,expressed_reason_delta,uncertainty_frame_comparison,uncertainty_frame_baseline,uncertainty_frame_delta,composite_reasoning_comparison,composite_reasoning_baseline,composite_reasoning_delta
evt_0001,claude-sonnet-4.5,claude-sonnet-4.5,1,1,all_profiles,T3_minus_T2,T3,T2,0.09466101557281854,0.08709640220296792,0.00756461336985062,0.11021144344366653,0.10578847094453266,0.00442297249913387,0.07716754277260275,0.07014018837181232,0.007027354400790428
evt_0001,claude-sonnet-4.5,claude-sonnet-4.5,1,1,all_profiles,T4_minus_T2,T4,T2,0.05065923254755536,0.08709640220296792,-0.03643716965541256,0.12597910678461047,0.10578847094453266,0.02019063584007781,0.044833978184777495,0.07014018837181232,-0.025306210187034828
evt_0001,claude-sonnet-4.5,claude-sonnet-4.5,1,1,all_profiles,T4_minus_T3,T4,T3,0.05065923254755536,0.09466101557281854,-0.04400178302526318,0.12597910678461047,0.11021144344366653,0.01576766334094394,0.044833978184777495,0.07716754277260275,-0.032333564587825256
evt_0001,claude-sonnet-4.5,claude-sonnet-4.5,1,1,retail,T3_minus_T2,T3,T2,0.09716831945600722,0.10848067838106114,-0.011312358925053917,0.14027788457425958,0.10765542777591836,0.03262245679834122,0.08364070349835663,0.0863687242074831,-0.0027280207091264635
evt_0001,claude-sonnet-4.5,claude-sonnet-4.5,1,1,retail,T4_minus_T2,T4,T2,0.058641699312145024,0.10848067838106114,-0.049838979068916114,0.10260458116187236,0.10765542777591836,-0.005050846614045992,0.051171543433749744,0.0863687242074831,-0.03519718077373335
evt_0001,claude-sonnet-4.5,claude-sonnet-4.5,1,1,retail,T4_minus_T3,T4,T3,0.058641699312145024,0.09716831945600722,-0.0385266201438622,0.10260458116187236,0.14027788457425958,-0.03767330341238721,0.051171543433749744,0.08364070349835663,-0.032469160064606886
evt_0001,claude-sonnet-4.5,claude-sonnet-4.5,1,1,institutional,T3_minus_T2,T3,T2,0.10232176663424804,0.05166277384915648,0.050658992785091554,0.09389194407330392,0.11489367394623702,-0.021001729872933098,0.08392511352905356,0.04692852359831721,0.03699658993073635
evt_0001,claude-sonnet-4.5,claude-sonnet-4.5,1,1,institutional,T4_minus_T2,T4,T2,0.0513688494069906,0.05166277384915648,-0.00029392444216588126,0.1339072588996532,0.11489367394623702,0.019013584953416166,0.04372604133520647,0.04692852359831721,-0.003202482263110741
evt_0001,claude-sonnet-4.5,claude-sonnet-4.5,1,1,institutional,T4_minus_T3,T4,T3,0.0513688494069906,0.10232176663424804,-0.050952917227257435,0.1339072588996532,0.09389194407330392,0.04001531482634926,0.04372604133520647,0.08392511352905356,-0.040199072193847094
evt_0001,claude-sonnet-4.5,claude-sonnet-4.5,2,1,all_profiles,T3_minus_T2,T3,T2,0.07493709648271436,0.07779186099085321,-0.002854764508138846,0.11932604765169728,0.11483145657569883,0.00449459107599845,0.06553648839889416,0.06124353951632268,0.004292948882571479
evt_0001,claude-sonnet-4.5,claude-sonnet-4.5,2,1,all_profiles,T4_minus_T2,T4,T2,0.05065923254755536,0.07779186099085321,-0.02713262844329785,0.12597910678461047,0.11483145657569883,0.011147650208911633,0.044833978184777495,0.06124353951632268,-0.016409561331545183
