metric,contrast,comparison,baseline,n_events,mean_delta,median_delta,positive_share,ci_low,ci_high,p_two_sided
category_diversity,T2_minus_T1,T2,T1,94,0.007929436845660257,0.004965277777777721,0.5212765957446809,-0.006798674434312726,0.022667437098953067,0.298
category_diversity,T3_minus_T2,T3,T2,94,0.049605021529888556,0.04815972222222225,0.8617021276595744,0.040140355876393106,0.059687183383991885,0.0
category_diversity,T4_minus_T2,T4,T2,94,0.46704185663627157,0.48319444444444454,0.9787234042553191,0.4398476443768996,0.49325611596589003,0.0
category_diversity,T4_minus_T3,T4,T3,94,0.417436835106383,0.4394618055555556,0.9787234042553191,0.38864852061170224,0.44527866430260044,0.0
category_diversity,T4_minus_B0,T4,B0,94,-0.020446217494089838,0.007777777777777717,0.5106382978723404,-0.04172296099290782,-0.000222433299560961,0.0464
category_diversity,B0_minus_T1,B0,T1,94,0.4954175109760217,0.5143055555555556,0.9787234042553191,0.46846502448497124,0.5200481256332321,0.0
