metric,contrast,comparison,baseline,n_events,mean_delta,median_delta,positive_share,ci_low,ci_high,p_two_sided
belief_mad,T2_minus_T1,T2,T1,94,0.002613563829787233,0.0025187499999999967,0.7446808510638298,0.001323308953900711,0.003917237367021274,0.0
belief_mad,T3_minus_T2,T3,T2,94,0.001451595744680852,0.0011166666666666668,0.648936170212766,0.0008291467198581578,0.002117655141843972,0.0
belief_mad,T4_minus_T2,T4,T2,94,-0.0027233156028368824,-0.002489583333333334,0.26595744680851063,-0.003896020611702132,-0.0015500808953900743,0.0
belief_mad,T4_minus_T3,T4,T3,94,-0.004174911347517735,-0.0036124999999999916,0.18085106382978725,-0.005495733599290784,-0.002929257535460996,0.0
belief_mad,T4_minus_B0,T4,B0,94,0.0008838652482269513,0.0003333333333332992,0.5531914893617021,-0.00023941046099290903,0.0020402792553191524,0.1282
belief_mad,B0_minus_T1,B0,T1,94,-0.0009936170212766007,-0.001075,0.4574468085106383,-0.0022807402482269553,0.00024984485815602344,0.1174
