hypothesis_id,upstream_model_family,model_family,contrast_id,index_type,effect_name,metric_group,metric_name,support_direction,support_share,effect_n,effect_mean,effect_std,effect_median,effect_min,effect_max,effect_positive_share,effect_negative_share,interpretation
H2,legacy_unspecified,pooled,T3_minus_T2,SCI,SCI,rationale,mean_pairwise_sentence_embedding_distance,positive,0.71875,192,0.06821406649042136,0.14968205480592825,0.08091955524642302,-0.4720868476430239,0.4717138926374891,0.71875,0.28125,T2 is less diverse than T3: shared-summary bottleneck is present for this metric.
H2,legacy_unspecified,pooled,T3_minus_T2,SCI,SCI,rationale,source_id_diversity_one_minus_overlap,positive,0.8020833333333334,192,0.17652608669318726,0.28399873702102435,0.17970543567534644,-0.822247065399664,1.0,0.8020833333333334,0.19791666666666666,T2 is less diverse than T3: shared-summary bottleneck is present for this metric.
H2,legacy_unspecified,pooled,T3_minus_T2,SCI,SCI,rationale,evidence_category_diversity_one_minus_overlap,positive,0.6208791208791209,182,0.039177511602974294,0.7018995158265923,0.1867752495260619,-4.177142857142878,1.0,0.6208791208791209,0.36813186813186816,T2 is less diverse than T3: shared-summary bottleneck is present for this metric.
H3,legacy_unspecified,pooled,T3_minus_T2,SCI,rationale_SCI,rationale,mean_pairwise_sentence_embedding_distance,positive,0.71875,192,0.06821406649042136,0.14968205480592825,0.08091955524642302,-0.4720868476430239,0.4717138926374891,0.71875,0.28125,T2 compresses rationale/evidence diversity relative to T3.
H3,legacy_unspecified,pooled,T3_minus_T2,SCI,rationale_SCI,rationale,source_id_diversity_one_minus_overlap,positive,0.8020833333333334,192,0.17652608669318726,0.28399873702102435,0.17970543567534644,-0.822247065399664,1.0,0.8020833333333334,0.19791666666666666,T2 compresses rationale/evidence diversity relative to T3.
H3,legacy_unspecified,pooled,T3_minus_T2,SCI,rationale_SCI,rationale,evidence_category_diversity_one_minus_overlap,positive,0.6208791208791209,182,0.039177511602974294,0.7018995158265923,0.1867752495260619,-4.177142857142878,1.0,0.6208791208791209,0.36813186813186816,T2 compresses rationale/evidence diversity relative to T3.
H6,legacy_unspecified,pooled,T3_minus_T2,SCI,quality_conditioned_SCI,belief,mean_pairwise_abs_diff_expected_return_5d,positive,0.59375,192,0.04860908698856562,0.47768544988566886,0.0813486842105263,-1.8461538461538471,0.8786127167630058,0.59375,0.3854166666666667,Diversity loss exists and must be interpreted with the paired quality table.
H6,legacy_unspecified,pooled,T3_minus_T2,SCI,quality_conditioned_SCI,belief,std_expected_return_5d,positive,0.5833333333333334,192,0.03612300875167366,0.4942509984875877,0.05960976317139503,-1.910427500435996,0.8859735884242643,0.5833333333333334,0.3854166666666667,Diversity loss exists and must be interpreted with the paired quality table.
H6,legacy_unspecified,pooled,T3_minus_T2,SCI,quality_conditioned_SCI,belief,iqr_expected_return_5d,positive,0.5879120879120879,182,-0.10655201011180188,1.4956621180533485,0.1842424242424244,-14.000000000000009,1.0,0.5879120879120879,0.31868131868131866,No diversity-loss signal to quality-condition for this metric.
H6,legacy_unspecified,pooled,T3_minus_T2,SCI,quality_conditioned_SCI,belief,confidence_dispersion,positive,0.5491329479768786,173,0.08654452274701747,0.5757928470094683,0.048028361767011425,-3.013864859597427,1.0,0.5491329479768786,0.3872832369942196,Diversity loss exists and must be interpreted with the paired quality table.
H6,legacy_unspecified,pooled,T3_minus_T2,SCI,quality_conditioned_SCI,action,entropy_buy_hold_sell,positive,0.3081081081081081,185,0.008907005477776102,0.3596411495083618,0.0,-1.2447655164372273,1.0,0.3081081081081081,0.20540540540540542,Diversity loss exists and must be interpreted with the paired quality table.
H6,legacy_unspecified,pooled,T3_minus_T2,SCI,quality_conditioned_SCI,action,action_diversity_one_minus_hhi,positive,0.2702702702702703,185,-0.003853398853398899,0.35151883736525197,0.0,-1.200000000000001,1.0,0.2702702702702703,0.1837837837837838,No diversity-loss signal to quality-condition for this metric.
H6,legacy_unspecified,pooled,T3_minus_T2,SCI,quality_conditioned_SCI,action,action_direction_diversity_one_minus_abs_net_direction,positive,0.2810810810810811,185,-0.06378378378378385,0.6518309450142542,0.0,-3.0000000000000013,1.0,0.2810810810810811,0.1891891891891892,No diversity-loss signal to quality-condition for this metric.
H6,legacy_unspecified,pooled,T3_minus_T2,SCI,quality_conditioned_SCI,rationale,mean_pairwise_sentence_embedding_distance,positive,0.71875,192,0.06821406649042136,0.14968205480592825,0.08091955524642302,-0.4720868476430239,0.4717138926374891,0.71875,0.28125,Diversity loss exists and must be interpreted with the paired quality table.
H6,legacy_unspecified,pooled,T3_minus_T2,SCI,quality_conditioned_SCI,rationale,source_id_diversity_one_minus_overlap,positive,0.8020833333333334,192,0.17652608669318726,0.28399873702102435,0.17970543567534644,-0.822247065399664,1.0,0.8020833333333334,0.19791666666666666,Diversity loss exists and must be interpreted with the paired quality table.
H6,legacy_unspecified,pooled,T3_minus_T2,SCI,quality_conditioned_SCI,rationale,evidence_category_diversity_one_minus_overlap,positive,0.6208791208791209,182,0.039177511602974294,0.7018995158265923,0.1867752495260619,-4.177142857142878,1.0,0.6208791208791209,0.36813186813186816,Diversity loss exists and must be interpreted with the paired quality table.
T4,legacy_unspecified,pooled,T4_minus_T2,SEMI,SEMI,belief,mean_pairwise_abs_diff_expected_return_5d,positive,0.6666666666666666,192,0.24387092915297837,0.6926006113820927,0.1670095005665476,-1.8461538461538471,2.9090909090909096,0.6666666666666666,0.3177083333333333,T4 restores diversity relative to T2 for this metric.
T4,legacy_unspecified,pooled,T4_minus_T2,SEMI,SEMI,belief,std_expected_return_5d,positive,0.6458333333333334,192,0.23962057807301276,0.7454872760369744,0.12820468821228234,-1.7989896399835734,3.0530959748723046,0.6458333333333334,0.34375,T4 restores diversity relative to T2 for this metric.
T4,legacy_unspecified,pooled,T4_minus_T2,SEMI,SEMI,belief,iqr_expected_return_5d,positive,0.6098901098901099,182,0.4392324613196734,1.4906529299994449,0.21385083713850844,-4.777777777777782,8.000000000000009,0.6098901098901099,0.3241758241758242,T4 restores diversity relative to T2 for this metric.
T4,legacy_unspecified,pooled,T4_minus_T2,SEMI,SEMI,belief,confidence_dispersion,positive,0.5375722543352601,173,0.24537339450519172,0.9970455768212283,0.0498538124173848,-1.7638342073763953,7.962411694957788,0.5375722543352601,0.3988439306358382,T4 restores diversity relative to T2 for this metric.
T4,legacy_unspecified,pooled,T4_minus_T2,SEMI,SEMI,action,entropy_buy_hold_sell,positive,0.3027027027027027,185,0.037368947236078816,0.3974138907286994,0.0,-1.2447655164372273,1.2447655164372273,0.3027027027027027,0.2864864864864865,T4 restores diversity relative to T2 for this metric.
T4,legacy_unspecified,pooled,T4_minus_T2,SEMI,SEMI,action,action_diversity_one_minus_hhi,positive,0.2918918918918919,185,0.03417144417144419,0.38344356345812847,0.0,-1.200000000000001,1.200000000000001,0.2918918918918919,0.25405405405405407,T4 restores diversity relative to T2 for this metric.
T4,legacy_unspecified,pooled,T4_minus_T2,SEMI,SEMI,action,action_direction_diversity_one_minus_abs_net_direction,positive,0.2810810810810811,185,0.03414414414414417,0.816311342228377,0.0,-3.0000000000000013,3.0000000000000013,0.2810810810810811,0.2756756756756757,T4 restores diversity relative to T2 for this metric.
T4,legacy_unspecified,pooled,T4_minus_T2,SEMI,SEMI,rationale,mean_pairwise_sentence_embedding_distance,positive,0.609375,192,0.04415014829695798,0.18093712671756537,0.036754357499657074,-0.6045473643310257,0.5679680923528985,0.609375,0.390625,T4 restores diversity relative to T2 for this metric.
T4,legacy_unspecified,pooled,T4_minus_T2,SEMI,SEMI,rationale,source_id_diversity_one_minus_overlap,positive,0.7604166666666666,192,0.20082783321176076,0.365843610769787,0.16345165291793196,-1.5622580645161301,1.4956190476190476,0.7604166666666666,0.23958333333333334,T4 restores diversity relative to T2 for this metric.
T4,legacy_unspecified,pooled,T4_minus_T2,SEMI,SEMI,rationale,evidence_category_diversity_one_minus_overlap,positive,0.6098901098901099,182,0.3306224839886628,0.9930894163097528,0.14374335342077282,-2.5500000000000003,4.500000000000003,0.6098901098901099,0.34065934065934067,T4 restores diversity relative to T2 for this metric.
