hypothesis_id,title,primary_comparison,n_rows,stable_rows,effect_n,effect_mean,effect_std,effect_median,effect_min,effect_max,effect_positive_share,effect_negative_share
H1,Shared Compression Homogenization,T2_minus_T1,1920,1920,1920,0.01249568650087955,0.20249958565372003,0.0,-0.934940079072802,1.584962500721156,0.41822916666666665,0.4546875
H2,Shared Bottleneck Effect,T3_minus_T2,1860,1860,1860,0.029625608992212796,0.6559929496243689,0.03197560301244758,-14.000000000000009,1.0,0.5333333333333333,0.28978494623655915
H3,Rationale Compression,T2_minus_T1; T3_minus_T2,1152,1142,1152,0.021870405273503816,0.12844332455242075,0.02055848699701865,-0.5107359307359307,0.733606116106116,0.5807291666666666,0.4027777777777778
H4,Information-Environment Moderation,large_cap vs small_mid_cap within treatment contrasts,1860,1860,1860,0.029625608992212796,0.6559929496243689,0.03197560301244758,-14.000000000000009,1.0,0.5333333333333333,0.28978494623655915
H5,Investor-Type Moderation,retail vs institutional investor_group,3467,3467,3467,-0.01444760477786153,0.8415574248054585,0.0,-9.999999999999993,1.0,0.4147678107874243,0.265647533890972
H6,Quality-Conditional Homogenization,diversity loss cross-tabbed with quality changes,1860,1860,1860,0.029625608992212796,0.6559929496243689,0.03197560301244758,-14.000000000000009,1.0,0.5333333333333333,0.28978494623655915
H7,Cross-Model Shared Compression,SCI sign consistency across model_family,40,40,40,0.03084256831466401,0.1428568222873701,0.05126924995180159,-0.3009298318169287,0.40073945489578033,0.7,0.3
