cell_count,mean_between_profile_variance,median_between_profile_variance,mean_within_profile_variance,median_within_profile_variance,mean_signal_to_noise_ratio,median_signal_to_noise_ratio,mean_icc_like,median_icc_like,mean_representation_seed_variance,median_representation_seed_variance,mean_decision_seed_variance,median_decision_seed_variance,count_signal_to_noise_ratio,count_icc_like,count_representation_seed_variance,count_decision_seed_variance,run_label,treatment_family,metric,go_no_go_flag
12,0.0002935181498668981,0.00028432725694444447,1.881162879861111e-05,6.182291666666664e-06,270.45620382578903,34.8809523809524,0.9075319293237842,0.9795952629641133,6.512633506944442e-06,2.1979166666666635e-06,3.873744618055554e-06,5.885416666666678e-07,11,12,12,12,claude,T2,absolute_return_error,diagnostic_only
12,0.21455439814814814,0.22222222222222224,0.02690972222222222,0.0,3.6476190476190475,2.8888888888888893,0.890859140859141,1.0,0.011284722222222222,0.0,0.011284722222222222,0.0,5,12,12,12,claude,T2,action_code,pass_diagnostic_threshold
12,0.03023003472222223,0.02667751736111111,0.0034374999999999996,0.0017838541666666669,56.14270780430925,11.182051282051276,0.9070448483525868,0.9206237967528019,0.0009895833333333332,0.0004296875000000001,0.0011024305555555557,0.00035156249999999993,11,12,12,12,claude,T2,action_strength,pass_diagnostic_threshold
12,0.003744531249999999,0.0035521701388888894,0.0005472222222222222,0.0005312499999999999,15.58250227824959,7.134511322011317,0.85259401963257,0.8725381842136586,0.000303125,0.0002463541666666666,0.00010312499999999993,8.958333333333327e-05,12,12,12,12,claude,T2,confidence,diagnostic_only
12,0.01924189814814815,0.0,0.0026041666666666665,0.0,0.27777777777777785,0.27777777777777785,0.6086956521739131,0.6086956521739131,0.0008680555555555555,0.0,0.0008680555555555555,0.0,1,2,12,12,claude,T2,directional_accuracy,diagnostic_only
12,0.0003619497974537037,0.0004032534722222222,2.3962673611111113e-05,6.182291666666667e-06,316.91330709718835,62.73678160919538,0.9261251894115275,0.9856854692579056,7.912326388888887e-06,2.1979166666666673e-06,5.2734374999999994e-06,5.885416666666671e-07,11,12,12,12,claude,T2,expected_return_5d,pass_diagnostic_threshold
12,0.00029090886619039354,0.00020042100694444442,3.719343721875e-05,1.5848958333333325e-05,22.687674365708997,6.467963620825863,0.8463493653481983,0.8610203221946751,2.445076526736112e-05,1.111458333333334e-05,6.817516531250003e-06,3.248849187500001e-06,12,12,12,12,claude,T3,absolute_return_error,diagnostic_only
12,0.2120949074074074,0.2013888888888889,0.03125,0.041666666666666664,5.008928571428572,4.833333333333333,0.8779625976659875,0.8476190476190477,0.010416666666666666,0.0,0.010416666666666666,0.0,8,12,12,12,claude,T3,action_code,pass_diagnostic_threshold
12,0.03607602719907407,0.02343967013888889,0.0030794270833333338,0.0016015625000000001,19.86750499211306,13.764384527271126,0.9103196238762422,0.9300614299707342,0.0016948784722222224,0.0011718750000000004,0.0008789062499999999,0.0004427083333333331,12,12,12,12,claude,T3,action_strength,pass_diagnostic_threshold
12,0.0027666377314814797,0.0019084201388888877,0.00043472222222222225,0.00028958333333333353,15.713129423137119,7.194982773471133,0.8369951095014624,0.8746588057662052,0.00025173611111111127,0.00019843750000000005,4.826388888888887e-05,2.1354166666666707e-05,12,12,12,12,claude,T3,confidence,diagnostic_only
12,0.02560763888888889,0.0,0.009548611111111112,0.0,2.8571428571428577,2.8571428571428577,0.7333333333333334,0.7333333333333334,0.0078125,0.0,0.0008680555555555555,0.0,2,2,12,12,claude,T3,directional_accuracy,diagnostic_only
12,0.0003787971643518519,0.00034037934027777777,4.6177083333333325e-05,3.1744791666666677e-05,26.853009048456524,8.64367322791956,0.8685694153771598,0.895929440715778,3.148611111111112e-05,1.5255208333333334e-05,7.791666666666667e-06,3.4322916666666677e-06,12,12,12,12,claude,T3,expected_return_5d,pass_diagnostic_threshold
12,0.0006042707101186341,0.00044965277777777766,0.000673107877232639,0.0001106770833333333,7.327747518148668,1.4585118489339082,0.6232468883824943,0.5805277315666297,0.00024147474089236115,6.367187500000001e-05,0.0002522996237256945,3.255208333333333e-05,12,12,12,12,qwen,T2,absolute_return_error,diagnostic_only
12,0.1265914351851852,0.1388888888888889,0.018229166666666664,0.015625,2.777777777777778,3.5000000000000004,0.8207120788356486,0.9052631578947368,0.00954861111111111,0.0,0.0026041666666666665,0.0,6,12,12,12,qwen,T2,action_code,pass_diagnostic_threshold
12,0.0398005931712963,0.03242335069444444,0.017762065972222223,0.0089453125,7.675028232292621,2.2663386892940958,0.732798214309233,0.6926582949856739,0.005912586805555556,0.0020640624999999995,0.0075410590277777785,0.0012239583333333328,12,12,12,12,qwen,T2,action_strength,pass_diagnostic_threshold
12,0.0004530381944444443,0.00025034722222222233,0.0005199652777777777,0.0005265625000000002,1.174245767684908,0.47738488134527807,0.38549313251040257,0.32107004087764185,0.0002897569444444443,0.00028906250000000004,0.00012760416666666673,0.00014479166666666677,12,12,12,12,qwen,T2,confidence,diagnostic_only
12,0.012297453703703705,0.0,0.0026041666666666665,0.0,0.27777777777777785,0.27777777777777785,0.6086956521739131,0.6086956521739131,0.0008680555555555555,0.0,0.0008680555555555555,0.0,1,2,12,12,qwen,T2,directional_accuracy,diagnostic_only
12,0.0007755208333333334,0.0005504340277777778,0.0006874565972222222,0.0001106770833333333,8.371093211720263,3.0697701149425285,0.6705155527864807,0.7316038427135501,0.00024049479166666674,6.367187500000003e-05,0.00026263020833333336,3.255208333333333e-05,12,12,12,12,qwen,T2,expected_return_5d,pass_diagnostic_threshold
12,0.0005571226639965277,0.0005022753381666667,0.0010507999688263892,0.00011783854166666664,6.45402882953892,1.248147700509156,0.5583227640235605,0.5504689434246937,0.0004147234155347224,8.37239583333333e-05,0.00021624650581250006,2.369791666666667e-05,12,12,12,12,qwen,T3,absolute_return_error,diagnostic_only
12,0.1265914351851852,0.13888888888888892,0.06684027777777778,0.015625,2.011111111111111,0.75,0.7514097380162799,0.9243697478991597,0.019965277777777773,0.005208333333333333,0.016493055555555552,0.0,6,12,12,12,qwen,T3,action_code,below_diagnostic_threshold
12,0.0468240017361111,0.03496961805555556,0.04072300347222222,0.007395833333333336,11.92422640300574,4.719594655064925,0.7238562653207906,0.7918928280922006,0.008906510416666668,0.003424479166666668,0.011524565972222222,0.0020312500000000005,12,12,12,12,qwen,T3,action_strength,pass_diagnostic_threshold
12,0.00042816840277777797,0.0003668402777777779,0.0006315104166666665,0.0006484375000000001,1.261474634405158,0.705124182459663,0.41532360935104284,0.41352619815049296,0.00026605902777777755,0.00019583333333333307,0.00019973958333333324,0.00019531250000000012,12,12,12,12,qwen,T3,confidence,diagnostic_only
12,0.00998263888888889,0.0,0.021701388888888885,0.0,0.5541310541310541,0.22222222222222224,0.30358851674641146,0.18181818181818182,0.006076388888888888,0.0,0.006076388888888888,0.0,3,3,12,12,qwen,T3,directional_accuracy,diagnostic_only
12,0.000784353298611111,0.000600390625,0.0011980902777777782,0.00011783854166666664,6.951972575906903,1.9165796891390339,0.6104756121812495,0.6492194932105069,0.00043038194444444455,8.372395833333333e-05,0.00028194444444444453,2.8776041666666676e-05,12,12,12,12,qwen,T3,expected_return_5d,pass_diagnostic_threshold
