treatment_family,mean_pairwise_abs_diff_expected_return_5d,mean_pairwise_sentence_embedding_distance,source_id_diversity_one_minus_overlap,evidence_category_diversity_one_minus_overlap,entropy_buy_hold_sell,action_diversity_one_minus_hhi,quality_directional_accuracy,quality_action_accuracy,quality_mean_absolute_return_error
T1,0.013195744680851024,0.3200751618945239,0.4173886293848523,0.19157970280310702,0.45905651236847445,0.20936761229314418,0.5141843971631206,0.4250886524822695,0.05660502748226946
B0,0.012202127659574423,0.3379265958844861,0.9419813573935915,0.6869972137791286,0.48473072772195197,0.22015366430260044,0.5088652482269503,0.41267730496453897,0.054375712765957415
T2,0.015809308510638255,0.3532667722923799,0.41087328180152755,0.1995091396487673,0.7087900103105327,0.3283835697399527,0.5121897163120568,0.38331117021276595,0.054209328900709175
T3,0.01726090425531911,0.3836181210798307,0.5139156787152657,0.24911416117865584,0.732554135815775,0.3360667848699763,0.5097517730496454,0.38087322695035464,0.05457866334219854
T4,0.013085992907801375,0.33385345510227754,0.8868232595140614,0.6665509962850389,0.6442642524953011,0.2975768321513002,0.49069148936170215,0.3670212765957447,0.05289025443262407
